LAST SEEN   TYPE      REASON                    OBJECT                             MESSAGE
58m         Normal    Starting                  node/ip-10-0-2-48.ec2.internal     
58m         Normal    Starting                  node/ip-10-0-1-138.ec2.internal    
58m         Normal    Starting                  node/ip-10-0-1-138.ec2.internal    Starting kubelet.
58m         Normal    NodeHasNoDiskPressure     node/ip-10-0-1-138.ec2.internal    Node ip-10-0-1-138.ec2.internal status is now: NodeHasNoDiskPressure
58m         Normal    NodeHasSufficientPID      node/ip-10-0-1-138.ec2.internal    Node ip-10-0-1-138.ec2.internal status is now: NodeHasSufficientPID
58m         Normal    NodeAllocatableEnforced   node/ip-10-0-1-138.ec2.internal    Updated Node Allocatable limit across pods
58m         Normal    NodeHasSufficientPID      node/ip-10-0-2-48.ec2.internal     Node ip-10-0-2-48.ec2.internal status is now: NodeHasSufficientPID
58m         Normal    NodeHasSufficientMemory   node/ip-10-0-1-138.ec2.internal    Node ip-10-0-1-138.ec2.internal status is now: NodeHasSufficientMemory
58m         Warning   InvalidDiskCapacity       node/ip-10-0-1-138.ec2.internal    invalid capacity 0 on image filesystem
58m         Normal    NodeAllocatableEnforced   node/ip-10-0-2-48.ec2.internal     Updated Node Allocatable limit across pods
58m         Normal    Starting                  node/ip-10-0-2-48.ec2.internal     Starting kubelet.
58m         Warning   InvalidDiskCapacity       node/ip-10-0-2-48.ec2.internal     invalid capacity 0 on image filesystem
58m         Normal    NodeHasSufficientMemory   node/ip-10-0-2-48.ec2.internal     Node ip-10-0-2-48.ec2.internal status is now: NodeHasSufficientMemory
58m         Normal    NodeHasNoDiskPressure     node/ip-10-0-2-48.ec2.internal     Node ip-10-0-2-48.ec2.internal status is now: NodeHasNoDiskPressure
58m         Normal    Synced                    node/ip-10-0-2-48.ec2.internal     Node synced successfully
58m         Normal    Synced                    node/ip-10-0-1-138.ec2.internal    Node synced successfully
58m         Normal    RegisteredNode            node/ip-10-0-2-48.ec2.internal     Node ip-10-0-2-48.ec2.internal event: Registered Node ip-10-0-2-48.ec2.internal in Controller
58m         Normal    RegisteredNode            node/ip-10-0-1-138.ec2.internal    Node ip-10-0-1-138.ec2.internal event: Registered Node ip-10-0-1-138.ec2.internal in Controller
58m         Normal    NodeReady                 node/ip-10-0-2-48.ec2.internal     Node ip-10-0-2-48.ec2.internal status is now: NodeReady
58m         Normal    NodeReady                 node/ip-10-0-1-138.ec2.internal    Node ip-10-0-1-138.ec2.internal status is now: NodeReady
56m         Normal    SuccessfulCreate          replicaset/target-app-6bdb79f679   Created pod: target-app-6bdb79f679-ttgw4
56m         Normal    ScalingReplicaSet         deployment/target-app              Scaled up replica set target-app-6bdb79f679 to 2
56m         Normal    SuccessfulCreate          replicaset/target-app-6bdb79f679   Created pod: target-app-6bdb79f679-hl74m
56m         Normal    Scheduled                 pod/target-app-6bdb79f679-hl74m    Successfully assigned default/target-app-6bdb79f679-hl74m to ip-10-0-1-138.ec2.internal
56m         Normal    Scheduled                 pod/target-app-6bdb79f679-ttgw4    Successfully assigned default/target-app-6bdb79f679-ttgw4 to ip-10-0-2-48.ec2.internal
56m         Normal    Pulling                   pod/target-app-6bdb79f679-hl74m    Pulling image "nginx:1.25"
56m         Normal    Pulling                   pod/target-app-6bdb79f679-ttgw4    Pulling image "nginx:1.25"
56m         Normal    Pulled                    pod/target-app-6bdb79f679-ttgw4    Successfully pulled image "nginx:1.25" in 3.254s (3.254s including waiting)
56m         Normal    Started                   pod/target-app-6bdb79f679-ttgw4    Started container target-app
56m         Normal    Created                   pod/target-app-6bdb79f679-ttgw4    Created container: target-app
56m         Normal    Pulled                    pod/target-app-6bdb79f679-hl74m    Successfully pulled image "nginx:1.25" in 3.917s (3.917s including waiting)
56m         Normal    Created                   pod/target-app-6bdb79f679-hl74m    Created container: target-app
56m         Normal    Started                   pod/target-app-6bdb79f679-hl74m    Started container target-app
55m         Normal    Killing                   pod/target-app-6bdb79f679-ttgw4    Stopping container target-app
55m         Normal    Pulled                    pod/target-app-6bdb79f679-tzd7p    Container image "nginx:1.25" already present on machine
55m         Normal    SuccessfulCreate          replicaset/target-app-6bdb79f679   Created pod: target-app-6bdb79f679-tzd7p
55m         Normal    Created                   pod/target-app-6bdb79f679-tzd7p    Created container: target-app
55m         Normal    Scheduled                 pod/target-app-6bdb79f679-tzd7p    Successfully assigned default/target-app-6bdb79f679-tzd7p to ip-10-0-2-48.ec2.internal
55m         Normal    Started                   pod/target-app-6bdb79f679-tzd7p    Started container target-app
51m         Normal    ScalingReplicaSet         deployment/target-app              Scaled up replica set target-app-f6db4c6b6 to 1
51m         Normal    Scheduled                 pod/target-app-f6db4c6b6-xwt7j     Successfully assigned default/target-app-f6db4c6b6-xwt7j to ip-10-0-1-138.ec2.internal
51m         Normal    SuccessfulCreate          replicaset/target-app-f6db4c6b6    Created pod: target-app-f6db4c6b6-xwt7j
50m         Warning   Failed                    pod/target-app-f6db4c6b6-xwt7j     Failed to pull image "nginx:this-tag-is-fake-123": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/library/nginx:this-tag-is-fake-123": failed to resolve reference "docker.io/library/nginx:this-tag-is-fake-123": docker.io/library/nginx:this-tag-is-fake-123: not found
50m         Warning   Failed                    pod/target-app-f6db4c6b6-xwt7j     Error: ErrImagePull
50m         Normal    Pulling                   pod/target-app-f6db4c6b6-xwt7j     Pulling image "nginx:this-tag-is-fake-123"
50m         Warning   Failed                    pod/target-app-f6db4c6b6-xwt7j     Error: ImagePullBackOff
49m         Normal    BackOff                   pod/target-app-f6db4c6b6-xwt7j     Back-off pulling image "nginx:this-tag-is-fake-123"
48m         Normal    ScalingReplicaSet         deployment/target-app              Scaled down replica set target-app-f6db4c6b6 to 0 from 1
48m         Normal    SuccessfulDelete          replicaset/target-app-f6db4c6b6    Deleted pod: target-app-f6db4c6b6-xwt7j
48m         Normal    Killing                   pod/target-app-6bdb79f679-tzd7p    Stopping container target-app
48m         Normal    Scheduled                 pod/target-app-6bdb79f679-mng7z    Successfully assigned default/target-app-6bdb79f679-mng7z to ip-10-0-2-48.ec2.internal
48m         Normal    SuccessfulCreate          replicaset/target-app-6bdb79f679   Created pod: target-app-6bdb79f679-mng7z
48m         Normal    Created                   pod/target-app-6bdb79f679-mng7z    Created container: target-app
48m         Normal    Pulled                    pod/target-app-6bdb79f679-mng7z    Container image "nginx:1.25" already present on machine
48m         Normal    Started                   pod/target-app-6bdb79f679-mng7z    Started container target-app
48m         Normal    Started                   pod/target-app-6bdb79f679-v776j    Started container target-app
48m         Normal    SuccessfulCreate          replicaset/target-app-6bdb79f679   Created pod: target-app-6bdb79f679-v776j
48m         Normal    Created                   pod/target-app-6bdb79f679-v776j    Created container: target-app
48m         Normal    Pulled                    pod/target-app-6bdb79f679-v776j    Container image "nginx:1.25" already present on machine
48m         Normal    Scheduled                 pod/target-app-6bdb79f679-v776j    Successfully assigned default/target-app-6bdb79f679-v776j to ip-10-0-1-138.ec2.internal
48m         Normal    Killing                   pod/target-app-6bdb79f679-hl74m    Stopping container target-app
36m         Normal    Created                   pod/target-app-6bdb79f679-v58zf    Created container: target-app
36m         Normal    Killing                   pod/target-app-6bdb79f679-mng7z    Stopping container target-app
36m         Normal    Scheduled                 pod/target-app-6bdb79f679-v58zf    Successfully assigned default/target-app-6bdb79f679-v58zf to ip-10-0-2-48.ec2.internal
36m         Normal    Pulled                    pod/target-app-6bdb79f679-v58zf    Container image "nginx:1.25" already present on machine
36m         Normal    SuccessfulCreate          replicaset/target-app-6bdb79f679   Created pod: target-app-6bdb79f679-v58zf
36m         Normal    Started                   pod/target-app-6bdb79f679-v58zf    Started container target-app
2s          Warning   Failed                    pod/target-app-f6db4c6b6-z7pbl     Error: ErrImagePull
2s          Normal    SuccessfulCreate          replicaset/target-app-f6db4c6b6    Created pod: target-app-f6db4c6b6-z7pbl
2s          Normal    Scheduled                 pod/target-app-f6db4c6b6-z7pbl     Successfully assigned default/target-app-f6db4c6b6-z7pbl to ip-10-0-1-138.ec2.internal
2s          Warning   Failed                    pod/target-app-f6db4c6b6-z7pbl     Failed to pull image "nginx:this-tag-is-fake-123": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/library/nginx:this-tag-is-fake-123": failed to resolve reference "docker.io/library/nginx:this-tag-is-fake-123": docker.io/library/nginx:this-tag-is-fake-123: not found
2s          Normal    Pulling                   pod/target-app-f6db4c6b6-z7pbl     Pulling image "nginx:this-tag-is-fake-123"
2s          Normal    ScalingReplicaSet         deployment/target-app              Scaled up replica set target-app-f6db4c6b6 to 1 from 0
1s          Normal    BackOff                   pod/target-app-f6db4c6b6-z7pbl     Back-off pulling image "nginx:this-tag-is-fake-123"
1s          Warning   Failed                    pod/target-app-f6db4c6b6-z7pbl     Error: ImagePullBackOff
