LAST SEEN   TYPE      REASON              OBJECT                             MESSAGE
16m         Normal    Scheduled           pod/target-app-6bdb79f679-l467r    Successfully assigned default/target-app-6bdb79f679-l467r to ip-10-0-1-209.ec2.internal
75s         Normal    Scheduled           pod/target-app-f6db4c6b6-6tkw7     Successfully assigned default/target-app-f6db4c6b6-6tkw7 to ip-10-0-1-209.ec2.internal
27m         Normal    Scheduled           pod/target-app-6bdb79f679-l975q    Successfully assigned default/target-app-6bdb79f679-l975q to ip-10-0-1-209.ec2.internal
29m         Normal    Scheduled           pod/target-app-6bdb79f679-wjvsh    Successfully assigned default/target-app-6bdb79f679-wjvsh to ip-10-0-1-209.ec2.internal
23m         Normal    Scheduled           pod/target-app-6bdb79f679-xx69p    Successfully assigned default/target-app-6bdb79f679-xx69p to ip-10-0-2-175.ec2.internal
23s         Normal    Scheduled           pod/target-app-6bdb79f679-k62v5    Successfully assigned default/target-app-6bdb79f679-k62v5 to ip-10-0-1-209.ec2.internal
21m         Normal    Scheduled           pod/target-app-6bdb79f679-qb7v5    Successfully assigned default/target-app-6bdb79f679-qb7v5 to ip-10-0-1-209.ec2.internal
25m         Normal    Scheduled           pod/target-app-f6db4c6b6-hgb8t     Successfully assigned default/target-app-f6db4c6b6-hgb8t to ip-10-0-1-209.ec2.internal
30m         Normal    Scheduled           pod/target-app-f6db4c6b6-qjj9b     Successfully assigned default/target-app-f6db4c6b6-qjj9b to ip-10-0-1-209.ec2.internal
29m         Normal    Scheduled           pod/target-app-6bdb79f679-vrz8h    Successfully assigned default/target-app-6bdb79f679-vrz8h to ip-10-0-1-209.ec2.internal
8s          Normal    Scheduled           pod/target-app-6bdb79f679-gjk5d    Successfully assigned default/target-app-6bdb79f679-gjk5d to ip-10-0-1-209.ec2.internal
30m         Normal    SuccessfulCreate    replicaset/target-app-f6db4c6b6    Created pod: target-app-f6db4c6b6-qjj9b
30m         Normal    ScalingReplicaSet   deployment/target-app              Scaled up replica set target-app-f6db4c6b6 to 1 from 0
29m         Normal    Killing             pod/target-app-6bdb79f679-rlmnd    Stopping container target-app
29m         Normal    SuccessfulCreate    replicaset/target-app-6bdb79f679   Created pod: target-app-6bdb79f679-wjvsh
29m         Normal    Started             pod/target-app-6bdb79f679-wjvsh    Started container target-app
29m         Normal    Created             pod/target-app-6bdb79f679-wjvsh    Created container: target-app
29m         Normal    Pulled              pod/target-app-6bdb79f679-wjvsh    Container image "nginx:1.25" already present on machine
29m         Normal    SuccessfulCreate    replicaset/target-app-6bdb79f679   Created pod: target-app-6bdb79f679-vrz8h
29m         Normal    Killing             pod/target-app-6bdb79f679-wjvsh    Stopping container target-app
29m         Normal    Pulled              pod/target-app-6bdb79f679-vrz8h    Container image "nginx:1.25" already present on machine
29m         Normal    Created             pod/target-app-6bdb79f679-vrz8h    Created container: target-app
29m         Normal    Started             pod/target-app-6bdb79f679-vrz8h    Started container target-app
28m         Warning   Failed              pod/target-app-f6db4c6b6-qjj9b     Error: ErrImagePull
28m         Normal    Pulling             pod/target-app-f6db4c6b6-qjj9b     Pulling image "nginx:this-tag-is-fake-123"
28m         Warning   Failed              pod/target-app-f6db4c6b6-qjj9b     Failed to pull image "nginx:this-tag-is-fake-123": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/library/nginx:this-tag-is-fake-123": failed to resolve reference "docker.io/library/nginx:this-tag-is-fake-123": docker.io/library/nginx:this-tag-is-fake-123: not found
28m         Warning   Failed              pod/target-app-f6db4c6b6-qjj9b     Error: ImagePullBackOff
28m         Normal    BackOff             pod/target-app-f6db4c6b6-qjj9b     Back-off pulling image "nginx:this-tag-is-fake-123"
27m         Normal    SuccessfulCreate    replicaset/target-app-6bdb79f679   Created pod: target-app-6bdb79f679-l975q
27m         Normal    Killing             pod/target-app-6bdb79f679-vrz8h    Stopping container target-app
27m         Normal    Created             pod/target-app-6bdb79f679-l975q    Created container: target-app
27m         Normal    Pulled              pod/target-app-6bdb79f679-l975q    Container image "nginx:1.25" already present on machine
27m         Normal    Started             pod/target-app-6bdb79f679-l975q    Started container target-app
25m         Normal    SuccessfulCreate    replicaset/target-app-f6db4c6b6    Created pod: target-app-f6db4c6b6-hgb8t
23m         Normal    Pulling             pod/target-app-f6db4c6b6-hgb8t     Pulling image "nginx:this-tag-is-fake-123"
23m         Warning   Failed              pod/target-app-f6db4c6b6-hgb8t     Failed to pull image "nginx:this-tag-is-fake-123": rpc error: code = NotFound desc = failed to pull and unpack image "docker.io/library/nginx:this-tag-is-fake-123": failed to resolve reference "docker.io/library/nginx:this-tag-is-fake-123": docker.io/library/nginx:this-tag-is-fake-123: not found
23m         Warning   Failed              pod/target-app-f6db4c6b6-hgb8t     Error: ErrImagePull
23m         Normal    Killing             pod/target-app-6bdb79f679-7p9hz    Stopping container target-app
