incident_id,model,condition_A,condition_B,condition_C,condition_D,ecs_score,verdict
INC-001,nvidia-mistral,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-002,nvidia-mistral,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-003,nvidia-mistral,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-004,nvidia-mistral,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-005,nvidia-mistral,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-006,nvidia-mistral,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-007,nvidia-mistral,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-008,nvidia-mistral,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-009,nvidia-mistral,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-010,nvidia-mistral,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-011,nvidia-mistral,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-012,nvidia-mistral,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-013,nvidia-mistral,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-014,nvidia-mistral,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-015,nvidia-mistral,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-016,nvidia-mistral,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-001,nvidia-llama,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-002,nvidia-llama,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-003,nvidia-llama,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-004,nvidia-llama,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-005,nvidia-llama,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-006,nvidia-llama,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-007,nvidia-llama,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-008,nvidia-llama,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-009,nvidia-llama,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-010,nvidia-llama,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-011,nvidia-llama,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-012,nvidia-llama,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-013,nvidia-llama,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-014,nvidia-llama,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-015,nvidia-llama,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-016,nvidia-llama,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-001,nvidia-glm47,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-002,nvidia-glm47,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-003,nvidia-glm47,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-004,nvidia-glm47,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-005,nvidia-glm47,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-006,nvidia-glm47,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-007,nvidia-glm47,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-008,nvidia-glm47,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-009,nvidia-glm47,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-010,nvidia-glm47,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-011,nvidia-glm47,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
INC-012,nvidia-glm47,1.0,0.0,0.0,1.0,0.0,PRIOR_GUESSING
